Fecha,Usuario,Documento de Recepción,Nota,SKU,Código Barras,Producto,Cantidad,Serie,Costo Neto Unitario,Costo Neto Total
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98740004,7804612214007,AUDIFONOS BLUETOOTH AIWA AW-D4,4,,"17.563,00",70.252
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98031000,7804612213758,AUDIFONOS MANOS LIBRES AIWA I-10 ELECTRONICA MENOR,20,,"1.765,00",35.3
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98930220,6948391227283,AUDIFONOS GAMER HP H220S,4,,"11.344,50",45.378
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,92371953,8713439219531,AUDIFONOS GAMER TRUST ZIVA 21953 ELECTRONICA MENOR,10,,"5.630,00",56.3
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98740074,7809601115617,AUDIFONOS BLUETOOTH FIDDLER FD-TWS74,10,,"5.630,00",56.3
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98026003,4895229113121,ADAPTADOR TIPO C A HDMI-USB-USB C PHILIPS SWV6003G,6,,"12.185,00",73.11
09/10/2021,NATALY BAEZA,Sin Documento,Ajuste de Stock: NATALY BAEZA,92360032,619659184407,MICRO SD 32 GB SANDISK,1,,"0,00",0
09/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2158,Recepcion / NATALY BAEZA,98031000,7804612213758,AUDIFONOS MANOS LIBRES AIWA I-10 ELECTRONICA MENOR,8,,"1.802,41",14.419
09/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2159,Recepcion / NATALY BAEZA,92360032,619659184407,MICRO SD 32 GB SANDISK,5,,"3.190,00",15.95
12/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2160,Recepcion / NATALY BAEZA,61340215,61340215,VIDRIO 5D XIAOMI NOTE 8 PRO,2,,"672,00",1.344
12/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2162,Recepcion / NATALY FLORIDA,92360032,619659184407,MICRO SD 32 GB SANDISK,10,,"3.490,00",34.9
12/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2163,Recepcion / NATALY FLORIDA,92360128,619659185107,MICRO SD 128 GB SANDISK,5,,"9.690,00",48.45
13/10/2021,NATALY BAEZA,Sin Documento,Ajuste de Stock: NATALY BAEZA,92713231,619659163402,PENDRIVE 32 GB SANDISK CZ430 ULTRA FIT,8,,"4.890,00",39.12
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,40088699,6746456798699,CABLE USB-V8 3 MTS 5A,1,,"1.990,00",1.99
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,40085834,6746456795834,CABLE USB-C 3 MTS 5V,2,,"1.990,00",3.98
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,22275951,6925871659512,LINTERNA ET-F5951,1,,"1.369,00",1.369
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,766407253,766407253,TAPA 2.0 IPHONE 7,1,,"1.812,25",1.812
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,764807253,764807253,TAPA 2.0 IPHONE 7,1,,"946,67",947
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,765107253,765107253,TAPA 2.0 IPHONE 7,1,,"1.184,58",1.185
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,395907253,190198001184,TAPA 2.0 IPHONE 7,2,,"2.500,00",5
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,40527587,1606174937587,LUCES LED RGB 3 MTS USB,1,,"3.990,00",3.99
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,10002503,10002503,LUCES LED RGB 5 MTS COD 2503,1,,"7.185,00",7.185
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,871207233,7858816072338,CARGADOR CASA CABLE USB-V8 IRM-07233,2,,"1.748,00",3.496
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,87088481,7858816084812,CABLE EXTENSION USB 2.0 1 MT IRM-08481,1,,"504,00",504
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,40085482,6689950025482,CABLE USB MACHO-MACHO 3 MTS,2,,"2.290,00",4.58
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,40080610,6686993187467,CABLE DE RED 10 MTS CAT 6 0410-3,1,,"1.590,00",1.59
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,40082029,6686996002408,CABLE OPTICO 3.0 MTS 1212-28,1,,"1.390,00",1.39
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,98931011,98931011,HUB USB 2.0 4 PUERTOS HT-1011,1,,"1.681,00",1.681
